budget.level,supplementary,flow,fin.year,budget.category,flow.type,budget.entry,value
Union,FALSE,income,2017,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,572089.348
Union,FALSE,income,2018,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the Union Economic Organizations,269634.622
Union,FALSE,income,2018,Ministries and Departments,Receipts from theState-owned Economic Organizations,Receipts from the State-owned Economic Organizations undertaken outside the Union Budget Account,23802.06
Union,FALSE,income,2018,Ministries and Departments,Receipts from theState-owned Economic Organizations,Central Bank of Myanmar,218173.191
Union,FALSE,income,2018,Total,Receipts from theState-owned Economic Organizations,TOTAL M&D REVENUES,511609.873
Union,FALSE,income,2018,Grand Total,Receipts from theState-owned Economic Organizations,TOTAL REVENUES ACROSS ALL CATEGORIES,511609.873
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Home Affairs,1613.999
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Defence,40264.376
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Border Affairs,26.9352
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Foreign Affairs,56
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Information,13209.481
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Culture,194.503
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Agriculture and Irrigation,88783.56205
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Religious Affairs,31.47
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Cooperative,277.87665
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,"Livestock, Fisheries and Rural Development",43938.7418
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Industry,323667.7213
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Rail Transportation,39384.709
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Mines,15754.171
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Construction,248602
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Finance,535982.6803
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Electric Power,162943.295
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,National Planning and Economic Development,2821.339
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,"Labour, Employment and Social Security ",4520.88
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,"Social Welfare, Relief and Resettlement",79.22
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Transport,27165.4727
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Communications and Information Technology,274378.3
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Energy,997582.619
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Immigration and Populations,44.552
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Science and Technology,1492.2893
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Environmental Conservation and Forestry,21146.88
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Electric Power No.(2),231767.438
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Commerce,3329.208
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Hotels and Tourism Services,4271.258
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Sports,34.525
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Education,10527.21553
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Health,10521.24666
Union,FALSE,income,2012,Ministries and Departments,Other Current Receipts,Pensions and Gratuities,5.04
Union,FALSE,income,2012,Total,Other Current Receipts,TOTAL M&D REVENUES,3104419.107
